Date,0-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,Total
1/1/2000,4,0,2,0,0,2,2,4,2,0,8,17,30,20,35,8,134
1/2/2000,3,1,2,0,2,4,2,5,6,10,12,14,24,19,21,16,141
1/3/2000,7,0,1,1,0,3,4,5,4,9,8,15,22,15,24,16,134
1/4/2000,7,1,1,1,0,1,3,4,6,5,11,18,27,14,16,22,137
1/5/2000,4,1,0,0,2,1,3,5,3,5,12,14,20,20,28,15,133
1/6/2000,2,2,1,1,2,2,3,5,3,7,18,15,32,28,29,15,165
1/7/2000,5,1,1,2,1,3,3,2,5,5,10,12,21,21,23,16,131
1/8/2000,3,0,1,1,1,2,1,1,9,5,13,11,17,24,22,14,125
1/9/2000,6,0,2,0,2,3,3,2,6,11,10,13,23,18,27,14,140
1/10/2000,3,0,1,2,3,1,6,1,3,6,10,14,26,19,27,22,144
1/11/2000,2,2,2,2,2,1,4,4,7,5,6,18,12,22,18,18,125
1/12/2000,4,2,1,0,0,2,2,1,2,8,13,13,25,24,31,15,143
1/13/2000,1,0,2,1,0,0,4,4,6,5,9,19,16,15,22,10,114
1/14/2000,5,2,0,0,1,4,1,2,5,7,13,12,34,24,25,13,148
1/15/2000,5,0,0,1,0,0,3,9,4,5,8,14,19,25,17,15,125
1/16/2000,3,0,2,0,2,1,2,3,5,7,9,17,31,22,21,18,143
1/17/2000,4,3,0,3,0,1,1,6,4,5,16,19,26,25,20,20,153
1/18/2000,2,1,0,0,2,1,1,5,3,9,12,20,21,16,35,22,150
1/19/2000,6,1,1,2,0,1,4,1,9,9,16,15,29,21,37,23,175
1/20/2000,9,0,2,0,0,0,4,3,7,5,7,16,27,18,30,14,142
1/21/2000,1,0,0,2,2,3,3,1,3,5,8,19,16,16,30,20,129
1/22/2000,7,1,0,2,2,4,2,5,2,4,17,16,27,21,20,16,146
1/23/2000,3,0,1,1,1,2,4,4,3,6,14,22,24,24,28,16,153
1/24/2000,6,0,0,2,0,0,3,1,6,12,13,16,23,16,26,12,136
1/25/2000,2,1,0,0,2,2,4,4,3,7,15,9,17,23,28,19,136
1/26/2000,6,2,1,1,1,5,2,0,2,11,10,23,23,16,30,21,154
1/27/2000,2,0,1,0,2,1,2,6,1,5,9,18,26,32,28,9,142
1/28/2000,2,1,1,1,2,1,3,5,4,8,14,17,25,18,23,15,140
1/29/2000,3,0,2,0,1,0,3,5,4,2,8,9,16,18,20,22,113
1/30/2000,6,0,2,1,2,2,2,6,2,8,5,16,27,21,16,15,131
1/31/2000,0,4,1,1,1,2,1,4,4,5,13,14,22,23,24,21,140
2/1/2000,8,0,0,1,0,2,3,3,3,8,14,14,17,23,27,15,138
2/2/2000,3,1,0,3,1,4,4,2,7,8,10,12,17,28,21,17,138
2/3/2000,6,0,1,0,0,1,2,4,3,8,12,23,25,20,18,17,140
2/4/2000,5,0,0,1,2,0,1,5,4,8,6,14,22,28,18,17,131
2/5/2000,5,1,1,1,1,2,2,2,4,7,10,18,19,22,29,20,144
2/6/2000,4,1,2,2,1,1,1,1,5,9,10,9,27,24,26,14,137
2/7/2000,3,0,2,1,2,2,2,2,3,7,6,13,15,15,26,18,117
2/8/2000,5,1,1,0,1,3,3,2,4,4,8,8,17,21,28,15,121
2/9/2000,1,1,0,1,0,4,3,6,5,7,8,13,26,19,24,15,133
2/10/2000,2,0,2,1,1,1,3,3,0,8,5,21,19,16,26,20,128
2/11/2000,4,1,3,0,0,0,0,6,4,8,5,23,15,16,20,19,124
2/12/2000,4,1,0,1,1,4,0,3,4,3,6,14,11,17,27,17,113
2/13/2000,2,2,0,0,1,3,2,4,1,8,10,17,23,17,17,21,128
2/14/2000,4,0,0,1,2,1,2,3,2,6,5,12,24,21,16,17,116
2/15/2000,0,0,0,0,1,1,2,2,3,8,7,12,17,12,18,17,100
2/16/2000,2,1,1,0,0,2,4,4,2,4,13,19,16,22,12,14,116
2/17/2000,4,0,1,1,3,2,3,2,5,5,13,11,25,15,19,18,127
2/18/2000,3,1,0,1,1,1,3,3,5,13,4,16,20,20,23,13,127
2/19/2000,7,0,2,2,2,1,2,2,1,10,6,12,19,17,16,14,113
2/20/2000,5,0,0,0,1,4,1,2,8,2,12,12,23,13,13,20,116
2/21/2000,2,0,1,1,0,3,5,0,4,5,11,22,18,18,18,17,125
2/22/2000,0,1,0,0,4,1,1,2,2,2,11,11,11,19,16,12,93
2/23/2000,7,0,0,1,3,3,5,3,5,9,8,10,21,17,20,19,131
2/24/2000,5,0,1,0,0,3,4,3,6,5,7,17,15,14,27,17,124
2/25/2000,7,0,0,1,1,1,1,1,1,5,14,8,17,13,18,8,96
2/26/2000,5,0,0,0,0,4,3,4,3,4,3,15,11,14,16,13,95
2/27/2000,4,1,1,1,1,4,4,6,6,2,8,11,17,23,17,8,114
2/28/2000,5,0,2,1,0,2,4,3,1,6,8,11,23,15,24,16,121
2/29/2000,3,0,0,2,1,1,4,6,5,4,5,14,16,12,15,15,103
3/1/2000,2,0,0,0,0,1,3,8,2,11,8,21,18,14,21,9,118
3/2/2000,2,2,0,0,1,0,3,5,4,5,4,10,25,23,18,14,116
3/3/2000,7,1,1,1,1,2,5,3,4,4,6,13,19,16,15,14,112
3/4/2000,4,1,0,0,2,5,1,4,3,9,7,9,14,17,12,10,98
3/5/2000,3,1,2,1,2,2,4,5,6,7,11,15,21,14,15,8,117
3/6/2000,4,0,1,2,0,2,1,2,4,5,10,11,10,10,21,14,97
3/7/2000,3,2,0,1,4,0,3,4,1,6,10,8,20,19,14,12,107
3/8/2000,3,1,0,1,0,3,1,3,6,8,11,10,31,17,13,9,117
